Account Id,Account Name,Account Owned By,Account Type,Address,Billing City,Billing Region,Billing State,Close Date,Closed,Created Date,Industry,Opportunity ID,Opportunity Name,Opportunity Type,Product Name,Stage,Won,Zip Code,Amount,Discount Granted,Opportunity Quantity,Unit Price
001i0000008rFxEAAU,123 Warehousing,Tara Wang,Gold,"3270 N Hwy 87, Pine, AZ 85544",Pine,Southwest,Arizona,1/8/2011,Vrai,1/8/2011,Recreation,006i0000001vt8dAAA,123 Warehousing vt8dAAA  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Lost,Faux,85544,196.8,18.00%,2,120
001i0000008rFoZAAU,Mollis LLC,Tara Wang,Gold,"4746 E. Grant Rd., Tucson, AZ 85712",Tucson,Southwest,Arizona,1/10/2011,Vrai,1/3/2011,Internet,006i0000001vt8VAAQ,Mollis LLC vt8VAAQ  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,85712,21312,26.00%,36,800
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,1/16/2011,Vrai,1/15/2011,Technology,006i0000001vt8pAAA,Global Phone Networks(GPN) vt8pAAA  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,92020,1932,30.00%,23,120
001i0000008rG2oAAE,Nec Consulting,Fred Jenkins,Gold,"4101 30th St, San Diego, CA 92104",San Diego,West,California,1/19/2011,Vrai,1/21/2011,Healthcare,006i0000001vt8yAAA,Nec Consulting vt8yAAA  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,92104,32536,17.00%,49,800
001i0000008rCFaAAM,Arcu PC,Fred Jenkins,Gold,"40827 Stone Rd, Big Bear Lake, CA 92315",Big Bear Lake,West,California,1/20/2011,Vrai,1/22/2011,Financial Services,006i0000001vt8zAAA,Arcu PC vt8zAAA  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,92315,2184,9.00%,3,800
001i0000008rFh2AAE,Colonial Movers,Fred Jenkins,Other,"2050 Hwy 4, Arnold, CA 95223",Arnold,West,California,1/22/2011,Vrai,1/17/2011,Business Services,006i0000001vt8uAAA,Colonial Movers vt8uAAA  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,95223,10458,17.00%,18,700
001i0000008rBmiAAE,Nisl Arcu Consulting,Fred Jenkins,Cloud,"475 N. Lake Blvd, Tahoe City, CA 96145",Tahoe City,West,California,1/30/2011,Vrai,2/1/2011,Healthcare,006i0000001vt9JAAQ,Nisl Arcu Consulting vt9JAAQ  MOL Mobile Services,Services,MOL Mobile,Closed Won,Vrai,96145,4158,1.00%,7,600
001i0000008rBUSAA2,Sem Incorporated,Elissa Sanders,Gold,"105 W Emma St @ VFW Post 1771, Lafayette, CO 80026",Lafayette,West,Colorado,2/2/2011,Vrai,1/28/2011,Financial Services,006i0000001vt99AAA,Sem Incorporated vt99AAA  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Lost,Faux,80026,1016.4,23.00%,11,120
001i0000008rFgJAAU,Foo Bars,Elissa Sanders,Gold,"725 Manitou Ave Ste 3, Manitou Springs, CO 80829",Manitou Springs,West,Colorado,2/8/2011,Vrai,2/6/2011,Services,006i0000001vt9TAAQ,Foo Bars vt9TAAQ  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,80829,6120,15.00%,9,800
001i0000008rEqgAAE,Magnaj Innovation,Elissa Sanders,Gold,"274 Pagosa St, Pagosa Springs, CO 81147",Pagosa Springs,West,Colorado,2/14/2011,Vrai,2/14/2011,Oil & Gas,006i0000001vt9dAAA,Magnaj Innovation vt9dAAA  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,81147,20000,0.00%,25,800
001i0000008rFDvAAM,Volutpat Nunc Sit Corporation,Elissa Sanders,Gold,"717 Sylvan Lake Rd #B-1, Eagle, CO 81631",Eagle,West,Colorado,2/18/2011,Vrai,2/18/2011,Telecommunication,006i0000001vt9fAAA,Volutpat Nunc Sit Corporation vt9fAAA  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,81631,352.8,2.00%,3,120
001i0000008rFbyAAE,Aerosoft,Greg Long,Gold,"131 1 St Ave N, Jacksonville Beach, FL 32250",Jacksonville Beach,Southeast,Florida,2/20/2011,Vrai,2/12/2011,Retail,006i0000001vt9aAAA,Aerosoft vt9aAAA  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Lost,Faux,32250,1890,25.00%,21,120
001i0000008rFxEAAU,123 Warehousing,Tara Wang,Gold,"3270 N Hwy 87, Pine, AZ 85544",Pine,Southwest,Arizona,2/22/2011,Vrai,2/19/2011,Recreation,006i0000001vt9jAAA,123 Warehousing vt9jAAA  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,85544,7104,26.00%,12,800
001i0000008rFUtAAM,Urna PC,Greg Long,Gold,"30205 Sw 217 Ave, Homestead, FL 33030",Homestead,Southeast,Florida,2/25/2011,Vrai,2/27/2011,Retail,006i0000001vt9wAAA,Urna PC vt9wAAA  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,33030,62016,24.00%,102,800
